,business_id,name,state,address,review_count,chicken_total_reviews,chicken_average_rating
0,HaBkx5PwvbBpQ2iNCgHnVQ,Paul's Neighborhood Bar,WI,"2401 Parmenter St, Middleton, WI 53562",11,1,4.0
1,JdCFcgw4yk4M1ZRhAhBIag,Applebee's,WI,"4710 E Towne Blvd, Madison, WI 53704",13,2,1.0
2,HTplzElel_F_U_qhWuDKdg,Dexter's Pub,WI,"301 North St, Eken Park, Madison, WI 53704",53,2,4.5
3,O5lo-GKCG3cX8X4bh_DR_A,HomeTown Buffet,WI,"1745 Parkside Dr, Mayfair Park, Madison, WI 53704",16,3,3.0
4,JJFoeKZXgi2_LeECDMkkoQ,Tip Top Tavern,WI,"601 N St, Emerson East, Madison, WI 53704",21,1,5.0
5,JD1uVun5FEF_Ih2PnHCbuA,Dairyland Family Restaurant,WI,"716 Cottage Grove Rd, Eastmorland, Madison, WI 53716",11,1,3.0
6,2ZnCITVa0abGce4gZ6RhIw,Viad Tower Restaurants,AZ,"1850 N Central Ave, Phoenix, AZ 85004",5,1,5.0
7,j8nyAaN_w5t6wYv-ni23sg,Coach & Willies,AZ,"412 S 3rd St, Phoenix, AZ 85004",79,14,3.21
8,muCl5p-9ut1sY0aKeUeRhw,Cheuvront,AZ,"1326 N Central Ave, Phoenix, AZ 85004",189,21,3.86
9,jn3OgTqiQIFymRA9U0PTfQ,Arizona Baseball Club Restaurant,AZ,"401 E Jefferson St, Phoenix, AZ 85004",6,1,4.0
10,5-X03Zc0nN7U5eoe8uFUdw,Coronado Cafe,AZ,"2201 N 7th St, Phoenix, AZ 85006",175,26,4.35
11,I4L_MJOZsnux3xCU2bLP8Q,Cranberry Hills Eatery & Catering,AZ,"3003 N Central Ave, Phoenix, AZ 85012",10,4,4.0
12,Pfb6VOIiroqDWOebfgWGPQ,Phoenix City Grille,AZ,"5816 N 16th St, Phoenix, AZ 85016",197,35,3.97
13,rJ7HH85lo0wTNr5BiYGQ4Q,Adobe Restaurant-Arizona Biltmore Golf Club,AZ,"2400 E Missouri Ave, Phoenix, AZ 85016",15,2,2.0
14,ut-kla-EA23nJOij_dcL0Q,California Pizza Kitchen,AZ,"2400 E. Camelback Rd, Ste. 112, Phoenix, AZ 85016",56,16,3.62
15,2r8jGeuYvMkyP2ik_X-Bxw,The Cheesecake Factory,AZ,"2402 East Camelback, Space #101, Phoenix, AZ 85016",144,36,3.36
16,Ta-fY1c_E8qHBBDQGyxPkg,Bistro 24,AZ,"The Ritz-Carlton, Phoenix, 2401 East Camelback Road, Phoenix, AZ 85016",29,3,4.67
17,imvNxppzxkLUPH64pQsDQg,Wright's,AZ,"2400 E Missouri Ave, Phoenix, AZ 85016",44,3,5.0
18,3m7khDnqH9QOg8gu3Ymumw,Oscar Taylor's,AZ,"2375 E Camelback Road, Phoenix, AZ 85016",6,2,2.5
19,yPfvOB63thP5t3pGZPJExA,The Wrigley Mansion Club,AZ,"2501 E Telewa Trl, Phoenix, AZ 85016",112,7,3.57
20,Vu8od1U-h5qqwj3Jf_Hnzg,Souper Salad,AZ,"2045 E Camelback Rd, Phoenix, AZ 85016",15,2,3.0
21,zMa6YoEekpABg1HZnnTZdg,Hillstone,AZ,"2650 E Camelback Rd, Phoenix, AZ 85016",319,29,3.93
22,fVgrpVyp-nPLTac9YIjTug,T Cook's Restaurant,AZ,"Royal Palms Resort and Spa, 5200 E Camelback Rd, Phoenix, AZ 85018",191,13,4.23
23,kvxrjOmicwb2njvXOJsZRw,Ammaccapane's Restaurant & Sports Bar,AZ,"13470 N 7th St, Phoenix, AZ 85022",17,4,3.75
24,UpYva_zhJ6pRGfdTruIYIg,California Pizza Kitchen,AZ,"21001 N. Tatum Blvd, Ste 40-1370, Phoenix, AZ 85050",56,16,3.81
25,QzXFdjIbFRGhzL83goPPLA,Elephant Bar Restaurant,AZ,"7000 E. Mayo Blvd., Suite 27, Phoenix, AZ 85054",96,22,3.41
26,9ocGgALmbzTZWOS7f7SYcA,Old Country Buffet,AZ,"1855 S Stapley Dr, Mesa, AZ 85204",22,9,2.67
27,cyeBcWOtZUypZOO-guTdDw,Wing's Express,AZ,"1449 E Main St, Mesa, AZ 85204",7,1,5.0
28,eIhmvoU0EoK7CdrBuXQfEw,Rockin'r Ranch,AZ,"6136 E Baseline Rd, Mesa, AZ 85206",14,4,2.75
29,6uz6H-RNxbsVsvC4CRCo_A,Annabelle's Dining & Lounge,AZ,"425 S Power Rd, Mesa, AZ 85206",7,1,5.0
30,SS073W0tN3nvG36Qy6n0qg,Old Country Buffet,AZ,"6625 E Southern Ave, Mesa, AZ 85206",15,2,3.0
31,g8ewG8o0ubTUTAUDj7UZLQ,Pub'n Grub,AZ,"2815 S Alma School Rd, Ste 101, Mesa, AZ 85210",11,3,4.67
32,Jge6Oit_JdTkkJ6UzhWVNA,Red Sage Restaurant,AZ,"8330 E Sunrise Sky Dr, Gold Canyon, AZ 85218",18,1,5.0
33,JNEeWjajyZPrwMb1cYi_pg,Creative Cafe,AZ,"1420 N Trekell Rd, Casa Grande, AZ 85222",41,8,4.75
34,1Duul3qCnLrNak1Np-iHfw,Pita Jungle,AZ,"1949 W Ray Rd, Chandler, AZ 85224",228,81,3.96
35,PEezgevlEHjujMN1qTQH1g,Bahama Breeze,AZ,"7200 W Ray Rd, Chandler, AZ 85226",3,1,5.0
36,78IaYCf9ktUep4UhhjXbTg,The Cheesecake Factory,AZ,"3111 W Chandler Blvd, Suite 2100, Chandler, AZ 85226",137,38,3.45
37,-vHWAsiX0iHWJw-pkqv32Q,Kona Grill,AZ,"3111 W Chandler Blvd, Chandler Fashion Center, Chandler, AZ 85226",134,19,3.16
38,Nu0_tUBN6R9Oc-YsLVFNJg,California Pizza Kitchen,AZ,"3163 W Chandler Blvd, Ste 4, Chandler, AZ 85226",46,14,3.36
39,IMGW6y8wHQCfr_6k-YXg_A,BJ's Restaurant & Brewhouse,AZ,"3155 W.Chandler Blvd., Chandler, AZ 85226",174,26,3.88
40,xuEsUDFIWIEnBXvj1EBXlw,Crabby Don's Bar & Grill,AZ,"3861 E Baseline Rd, Ste K139, Gilbert, AZ 85234",28,1,4.0
41,L9UYbtAUOcfTgZFimehlXw,Liberty Market,AZ,"230 N Gilbert Rd, Gilbert, AZ 85234",603,56,4.2
42,i84W7aDZK18D4fLxXEkJlA,Forum Cafe,AZ,"6263 N Scottsdale Rd, Scottsdale, AZ 85250",4,1,5.0
43,68_EJEA9Ibo55EDp3d-nOg,Randy's Restaurant & Ice Cream,AZ,"7904 E Chaparral Rd, Scottsdale, AZ 85250",95,7,3.43
44,kYQxOeJRFYats6cxVFnILw,FOX Sports Grill,AZ,"16203 N Scottsdale Rd, Scottsdale, AZ 85254",30,3,3.0
45,ewZlgc22xN5NNQ1H7U6Y7g,The Cheesecake Factory,AZ,"15230 N Scottsdale Rd, Scottsdale, AZ 85254",121,30,3.3
46,-fsCfTYEnJ4s6yStgBnQig,Farrelli's Cinema Supper Club,AZ,"14202 N Scottsdale Rd, Scottsdale, AZ 85254",46,5,4.2
47,d840tbYJSVn8Fu-n5XRJTw,Handlebar-J,AZ,"7116 E Becker Ln, Scottsdale, AZ 85254",51,3,2.67
48,pQAIM21Yw4eNdbha2Rxkcg,The Melting Pot,AZ,"8260 N Hayden Rd, Scottsdale, AZ 85258",118,17,3.76
49,E5dqlvxPw9Q4XFqOMw_lqw,Dragonfly Cafe,AZ,"10135 E Via Linda, Scottsdale, AZ 85258",70,12,4.0
50,iqVDfE7XknJ6kDIoepT_xQ,Village Inn Restaurants,AZ,"10652 N 89th Pl., Scottsdale, AZ 85260",8,1,3.0
51,QVR7dsvBeg8xFt9B-vd1BA,K'O Donnell's Sports Bar & Grill,AZ,"14850 N Northsight Blvd, Scottsdale, AZ 85260",136,26,4.15
52,LzNJLEIo4gh-X_rmDkNkNg,Four Peaks Grill & Tap,AZ,"15745 N Hayden Rd, Ste D5-7, Scottsdale, AZ 85260",306,47,3.96
53,n4mfUCDXHsg0GH50HzJpug,Rock Bottom Restaurant & Brewery,AZ,"8668 E Shea Blvd, Scottsdale, AZ 85260",24,4,3.75
54,nzJxNn-tKG7kw_zf7xaYbg,Top of the Rock,AZ,"2000 W Westcourt Way, Tempe, AZ 85282",91,10,3.1
55,nVsABtNAvGoiMoSOEfjTzQ,John Henry's,AZ,"909 E Elliot Rd, Tempe, AZ 85284",11,1,2.0
56,Btmq4WdwevpVWTPjhzf1YQ,Teakwood Tavern and Grill - Gilbert,AZ,"151 E Williams Field Rd, Ste 112, Gilbert, AZ 85296",73,8,3.0
57,QyDYXJRz3b4f80qsMgpPFQ,Old Country Buffet,AZ,"17125 N 79th Ave, Glendale, AZ 85308",27,6,4.5
58,Tlp5G-slaW4XKRxhgjaCpA,TGI Friday's,AZ,"1559 N Litchfield Rd, Goodyear, AZ 85338",14,2,4.0
59,ifbMLSdB-VWs0wEN6UzBcQ,Wendy's Old Fashioned Hamburgers,AZ,"1178 N Litchfield Rd, Goodyear, AZ 85338",10,2,3.0
60,ADJIoHN3uLx-JalYl3r3Dw,The Cheesecake Factory,AZ,"16134 North 83rd Avenue, Peoria, AZ 85382",94,24,3.75
61,1eJ0pC6UrQVkDSflgrs0Fw,Elephant Bar Restaurant,AZ,"16160 No 83rd Ave, Peoria, AZ 85382",57,21,3.05
62,ltAPE16jLxC-BAnHhcI9CQ,Country Kitchen,AZ,"495 E Wickenburg Way, Wickenburg, AZ 85390",9,1,3.0
63,o-DRmVihuTjS3x9OXSj0tw,Shugrues Hillside Grill,AZ,"671 Hwy 179, Sedona, AZ 86326",88,1,5.0
64,oksXk_PEtYrWJJBGNhl5zw,Wok In Express,NV,"35 S Gibson Rd, Henderson, NV 89012",10,1,4.0
65,2XQzbeFSKuhOiJujH01o-g,Town Center Lounge II,NV,"2992 W Cheyenne Ave, North Las Vegas, NV 89032",6,3,3.0
66,DfNoB509sMpMbu-qvsgvrA,Chili's Grill & Bar,NV,"10080 S Eastern Ave, Anthem, Henderson, NV 89052",38,7,2.57
67,VCy6IWtJ-SR6hY9xrmfF_Q,Black Mountain Grill,NV,"11021 S Eastern Ave, Anthem, Henderson, NV 89052",74,15,3.8
68,IALHPP1RDtpXV9KnUM0EQQ,PT's,NV,"4604 W Sahara Ave, Suite #10, Westside, Las Vegas, NV 89102",13,1,4.0
69,a_qTdBz81-tgsd3UGmaT5Q,Skinny Dugan's Pub,NV,"4127 W Charleston Blvd, Westside, Las Vegas, NV 89102",15,1,3.0
70,Xo7K1LugLnT4pGc5TtwHRA,TGI Friday's,NV,"4570 W Sahara Ave, Westside, Las Vegas, NV 89102",46,11,3.0
71,a9Z5KKEDaC4Y4MHiRZhzzA,PT's,NV,"5355 S Decatur Blvd, Las Vegas, NV 89118",12,2,4.0
72,56Ulj9IFRp5Pz8ufJSHXBg,PT's,NV,"8584 W Lake Mead Blvd, Summerlin, Las Vegas, NV 89128",5,1,3.0
73,P1BK2ke-N4XLsBSNWpSeLQ,Baba's Tsi-bugan Restaurant,NV,"4588 N Rancho Dr, Ste 7, Northwest, Las Vegas, NV 89130",21,5,4.6
74,KJnVuzpveyDrHARVNZaYVg,Hooters Casino Hotel,NV,"115 E Tropicana Ave, Southeast, Las Vegas, NV 89109",690,61,2.44
75,nV79jhp3QzgSwV49bRTxiA,PT's,NV,"6055 E Lake Mead Blvd, Sunrise, Las Vegas, NV 89156",5,1,3.0
76,y93QKoRHJmaBL-x_OkNuyg,Draft House Bar & Restaurant,WI,"1010 Enterprise Dr, Verona, WI 53593",22,3,2.67
77,oGE8GPmBvHXQskP-m2cdLw,L'Etoile,WI,"1 S Pinckney St, Capitol, Madison, WI 53703",140,2,4.0
78,upKjWj5qf-wcZOgf-4XKIQ,Kennedy Manor Dining Room & Bar,WI,"1 Langdon St, Ste 103, Capitol, Madison, WI 53703",9,2,5.0
79,_z9UrC5hCTBK1JIgQD0YDw,Noodles & Company,WI,"232 State St, Capitol, Madison, WI 53703",34,4,4.0
80,v5mjUyUZeWfLTdxXfZYKMg,Bon Appetit Cafe,WI,"805 Williamson St, Williamson - Marquette, Madison, WI 53703",17,1,5.0
81,omWFwLRqI3VTcM46L8-qaA,Noodles & Company,WI,"3600 University Ave, Madison, WI 53705",6,1,4.0
82,ZusZ0l8gBpLvvYcTkuvRgw,Applebee's Neighborhood Grill & Bar,WI,"660 S Whitney Way, Madison, WI 53711",11,2,2.0
83,5w-qVzxUOGEajm9eH3gEkA,Parkway Family Restaurant,WI,"1221 Ann St, Burr Oaks, Madison, WI 53713",8,1,4.0
84,xG7wiKZC0Yu_ZpZtnLC91Q,Chili's Grill & Bar,WI,"7301 Mineral Point Rd, Madison, WI 53717",16,1,1.0
85,ZZkubP-TCzbGuEOEzZno-A,Quivey's Grove,WI,"6261 Nesbitt Rd, Fitchburg, WI 53719",74,7,3.57
86,PdRzCJWP7nPdYoHPdd5SOQ,Portland's Restaurant & Wine Bar,AZ,"105 W Portland St, Phoenix, AZ 85003",92,6,3.33
87,NWtC07BxIqQp76kugbvynA,5 & Diner Deer Valley,AZ,"20216 N 27th Ave, Phoenix, AZ 85027",13,1,5.0
88,os_r5fCkmjeP980CLv20MQ,The Place,AZ,"10240 N 27th Ave, Phoenix, AZ 85051",12,1,3.0
89,w3auuIZmKCdk2UvQbonyMQ,Midwestern Meats,AZ,"4308 E Main St, Mesa, AZ 85205",60,4,4.25
90,0BScRHEa2lVBCY4spkhmvQ,Grille At Las Sendas Golf Club,AZ,"7555 E Eagle Crest Dr, Mesa, AZ 85207",11,1,3.0
91,xkiVHfXb0QsuXp8HRzWWGw,First Round Draft,AZ,"1520 W Warner Rd, Ste 112, Gilbert, AZ 85233",27,3,1.33
92,faSdsW2s_SaVN0KTy-R2MQ,L'academie,AZ,"4301 N Scottsdale Rd, Scottsdale, AZ 85251",8,1,4.0
93,24V8QQWO6VaVggHdxjQQ_A,Arcadia Farms Cafe,AZ,"7014 E 1st Ave, Scottsdale, AZ 85251",263,67,3.99
94,ssmiBFaHbH_k97GsuQCOIw,Furio,AZ,"7210 E 2nd St, Scottsdale, AZ 85251",39,3,3.0
95,FV0BkoGOd3Yu_eJnXY15ZA,Cowboy Ciao,AZ,"7133 E Stetson Dr, Ste 1, Scottsdale, AZ 85251",492,22,4.14
96,sYZt3f1YFlg0ycDMyO-vJw,The Blue Moose,AZ,"7373 E Scottsdale Mall, Scottsdale, AZ 85251",48,5,3.8
97,o4DsvwwD2kIbF-EM4r9G8A,Drift Lounge,AZ,"4341 N 75th St, Scottsdale, AZ 85251",58,1,5.0
98,aDBT5MB0L2JCUo3kqgFRJw,Karsen's Grill,AZ,"7246 E 1st St, Ste 101, Scottsdale, AZ 85251",64,4,4.0
99,z6vO1HR8L2iW4avr610XKw,The Grapevine,AZ,"4013 N Brown Ave, Scottsdale, AZ 85251",120,11,3.09
100,7QSYBp2-AOdyUJXEaLnbgA,Bandera,AZ,"3821 N Scottsdale Rd, Scottsdale, AZ 85251",302,123,4.18
101,AZAd_Zhv4UiJZ1x2FRPqIA,Pinon Grill,AZ,"7401 N Scottsdale Rd, Scottsdale, AZ 85253",15,2,2.0
102,BCsYkzqxGY_xmi5q_ayFDw,Rancho Pinot Grill,AZ,"6208 N Scottsdale Rd, Paradise Valley, AZ 85253",52,9,4.56
103,4qOPELunTvPQsmmnLDr4Jw,California Pizza Kitchen,AZ,"10100 Scottsdale Rd., Scottsdale, AZ 85253",32,12,3.17
104,2OY8xs4aqOt8eTnYokdrww,Elements,AZ,"5700 E McDonald Dr, Paradise Valley, AZ 85253",255,15,4.13
105,7lp13T_FUmX1XjU2wen_qw,Razz's Restaurant & Catering,AZ,"10315 N Scottsdale Rd, Scottsdale, AZ 85253",84,4,4.0
106,2JZv-P1lDKOPKvefQlYDEQ,Village Tavern,AZ,"The Shops At Gainey Village, 8787 N Scottsdale Rd, Scottsdale, AZ 85258",119,14,3.14
107,NkTBJP2YOwUAUNzRqR2gJg,Bistro Provence,AZ,"8900 E Pinnacle Peak Rd, Ste B1, Scottsdale, AZ 85255",18,2,3.5
108,dyd81TK9jY-WLt6UbMFWng,Atlas Bistro,AZ,"2515 N Scottsdale Rd, Ste 18, Scottsdale, AZ 85257",76,1,4.0
109,JokKtdXU7zXHcr20Lrk29A,Four Peaks Brewing Co,AZ,"1340 E 8th St, Ste 104, Tempe, AZ 85281",1110,154,4.53
110,jJ2aoxyQjUKYCwWOKO4uPw,Grilled Expedition On Mill Cafe,AZ,"740 S Mill Ave, Tempe, AZ 85281",5,2,3.5
111,TzImzfIWkZTnetKl2a4-SQ,Gordon Biersch Brewery Restaurant,AZ,"420 S Mill Ave, Ste 201, Tempe, AZ 85281",192,17,3.29
112,eGevCRobYnA_HSj60sEWvQ,Pita Jungle,AZ,"1250 E. Apache Blvd., Tempe, AZ 85281",323,111,4.25
113,EKzMHI1tip8rC1-ZAy64yg,House of Tricks,AZ,"114 E 7th St, Tempe, AZ 85281",419,49,4.08
114,iNT6pcUugoXsDlZgRTyhtw,Caffe Boa,AZ,"398 S Mill Ave, Tempe, AZ 85281",356,31,3.48
115,TehSM5JrMRikSnjnnfulbw,Tonto Bar & Grill,AZ,"5736 E Rancho Manana Blvd, Cave Creek, AZ 85331",90,7,4.0
116,rhN7xg5XzvRKvdAXE9lBtA,Q Bar and Grill,AZ,"6750 W Olive Ave, Ste 102, Peoria, AZ 85345",18,1,5.0
117,cyxnQ6EocFbAENe7nRwx4Q,Mercer's Restaurant,AZ,"9720 W Peoria Ave, Peoria, AZ 85345",18,2,4.0
118,dSKxZU3Puy77MUTMXwDlgQ,Tivoli Gardens,AZ,"12535 W Bell Rd, Surprise, AZ 85374",20,2,3.5
119,Cd6B3ErSmNwTjDlju_lU3g,Carefree Station,AZ,"Spanish Village, 7212 Ho Hum Rd, Carefree, AZ 85377",82,7,3.43
120,xh0bfPUpBejd81_CfDVKaQ,Medici Cafe and Terrace,NV,"Ravella Hotel, 1610 Lake Las Vegas Pkwy, Henderson, NV 89011",12,1,3.0
121,XOVw8WHTzCWjfyudwgAN9A,Como's Restaurant,NV,"10 Via Brianza, Henderson, NV 89011",3,2,3.0
122,CE85IKRDS4GimIaoIp3N5A,Rainbow Club & Casino,NV,"122 S Water St, Henderson, NV 89015",80,13,3.85
123,qiblsXkj0dEWtoaXx9tE9Q,Northstar Bar & Grill,NV,"5150 Camino Al Norte, North Las Vegas, NV 89031",10,1,4.0
124,smoGuW2a2Nume83mB3JJSw,Applebee's Neighborhood Grill & Bar,NV,"820 E Warm Springs Rd, Southeast, Las Vegas, NV 89119",28,5,3.0
125,Q5pTGQKEhxgit1fwgrHEbg,Binion's Hotel & Casino,NV,"128 Fremont St, Downtown, Las Vegas, NV 89101",117,3,4.67
126,kE7hkm4gn8dHvGFwqy6foQ,Second Street Grill,NV,"200 Fremont St, Downtown, Las Vegas, NV 89101",34,2,3.0
127,VRYTY0V7WZcP-yzv7bkllg,PT's,NV,"4825 W Flamingo Ave, Suite #3, Las Vegas, NV 89103",7,1,3.0
128,OvE1oiSg9gaB9cLGzBPlnw,Four Kegs Sports Bar,NV,"276 N Jones Blvd, Ste B, Las Vegas, NV 89107",243,23,3.52
129,QvRK2dyv4EDxuJ-LuodE2Q,Gordon Biersch Brewery Restaurant,NV,"3987 Paradise Rd, Eastside, Las Vegas, NV 89169",189,25,3.88
130,QJlab4DqvBRJPUfg7Vn5ZQ,Spago,NV,"The Forum Shops at Caesars, 3500 Las Vegas Blvd S, Ste G1, The Strip, Las Vegas, NV 89109",658,81,4.17
131,xBSQ3xs6qSIEr07WM4ho5A,Simon Kitchen and Bar,NV,"Hard Rock Hotel and Casino, 4455 Paradise Rd, The Strip, Las Vegas, NV 89109",14,1,4.0
132,76t_NE9GQthoryLZgDyxGg,Caribe Café,NV,"The Mirage, 3400 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",22,2,2.0
133,88CNSyeoKhGn1x0SHvz8Ig,Postrio,NV,"The Grand Canal Shoppes at The Venetian, 3377 Las Vegas Blvd S, Ste 2410, The Strip, Las Vegas, NV 89109",352,28,3.68
134,MWkIQNT5ewKwMfKbixgb6Q,California Pizza Kitchen,NV,"3200 Las Vegas Blvd, Sp#1590, The Strip, Las Vegas, NV 89109",76,25,3.88
135,N8NiWbLzee9EOeMnz2MOlw,Claim Jumper,NV,"1100 S Fort Apache Rd, Westside, Las Vegas, NV 89117",118,38,3.24
136,_UsqOvmgoNzb_0xWpzwZBg,Chicago Brewing Company,NV,"2201 S Fort Apache Rd, Westside, Las Vegas, NV 89117",212,43,3.7
137,6P3SsceAMT39CBlo0upqHQ,Mad Matty's Bar & Grille,NV,"8100 W Sahara Ave, Westside, Las Vegas, NV 89117",20,1,5.0
138,wH8J9TI8ReocYZ3N2W04bw,Marie Callenders Restaurant & Bakery,NV,"8175 W Sahara Ave, Westside, Las Vegas, NV 89117",42,6,2.83
139,5FE1Y9cZ-YOQA943nTi7cA,Rosemary's Restaurant,NV,"8125 W Sahara Ave, Ste 110, Westside, Las Vegas, NV 89117",323,6,3.33
140,OaiGAZoW7TQyHfKJAgu5ZQ,PT's,NV,"1661 E Sunset Rd, Southeast, Las Vegas, NV 89119",21,1,4.0
141,w4gafqTSIkBjqPufGEEh6Q,Blue Ox Central,NV,"6000 S Eastern Ave, Southeast, Las Vegas, NV 89119",25,14,4.21
142,xUnM3aQI3BIw_zNU8cBgEA,Cili Fine Dining,NV,"5160 Las Vegas Blvd S, Southeast, Las Vegas, NV 89119",26,9,4.11
143,yUUnMqu_qr9O4EuDCleKeg,Gilligan's Hide Away,NV,"2601 Atlantic St, Eastside, Las Vegas, NV 89121",11,1,2.0
144,PayaNmMeZFOFeS_jo7eB8g,Casa Di Amore,NV,"2850 E Tropicana Ave, Eastside, Las Vegas, NV 89121",283,46,3.61
145,Tc--MNuXGt6ggLzTX4LnOw,Mulligan's Border Bar & Grill,NV,"1235 E Pebble Rd, Southeast, Las Vegas, NV 89123",14,1,5.0
146,qj2T7GkIVcKCPDFuEqQUrw,DOC Holliday's Saloons,NV,"9310 S Eastern Ave, Las Vegas, NV 89123",7,1,4.0
147,5oaHZw1g-Rbiianma5zU5g,PT's,NV,"582 E Silverado Ranch Blvd, Southeast, Las Vegas, NV 89123",22,2,4.0
148,0QtGVVXoDnKJxPA0v2yckA,Ceres,NV,"JW Marriott Las Vegas Resort & Spa, 221 N Rampart Blvd, Westside, Las Vegas, NV 89145",19,1,3.0
149,co0vxQ8ecXiBy2sGDeHi8A,Jamms Restaurant,NV,"1029 S Rainbow Blvd, Westside, Las Vegas, NV 89145",298,18,3.61
150,Nv3oky9GGH5KPiXjXIOSKw,PT's,NV,"739 S Rainbow Blvd, Westside, Las Vegas, NV 89145",9,1,5.0
151,QgeyXkZKSOIS_85pDIVuQQ,Sedona Lounge,NV,"9580 W Flamingo Rd, Spring Valley, Las Vegas, NV 89147",177,22,3.5
152,vGm5HVOg8M-I7lzAFLzrcg,PT's,NV,"3935 S Durango Dr, Spring Valley, Las Vegas, NV 89147",17,1,1.0
153,NERLJXacJ3b6peiZ8ceeqA,Hubbard Avenue Diner,WI,"7445 Hubbard Ave, Middleton, WI 53562",107,17,3.94
154,aRkYtXfmEKYG-eTDf_qUsw,Lux,AZ,"4402 N Central Ave, Phoenix, AZ 85012",747,2,3.5
155,6YWp7frmHKuPLYSlPyUdsw,Barcelona Restaurants,AZ,"15440 E Greenway Hayden Lp, Scottsdale, AZ 85260",58,1,3.0
156,E28ht8IEiO6FZbKktSo0Xw,Tommy Bahama Restaurant & Bar - Scottsdale,AZ,"15205 North Kierland Boulevard, 100, Scottsdale, AZ 85254",161,17,4.47
157,rP76z9iDOFczywAiee-l7A,Red Square Restaurant & Vodka Lounge,NV,"3950 Las Vegas Blvd S, The Strip, Las Vegas, NV 89119",405,33,3.82
158,H6CJflwclNpttYrtsBMsVg,Emeril's New Orleans Fish House,NV,"MGM Grand Hotel and Casino, 3799 Las Vegas Blvd S, Eastside, Las Vegas, NV 89109",542,28,3.5
159,xyTJYlbE_MLouK6rCou6zg,Burger Bar,NV,"Mandalay Bay Resort & Casino, 3930 S Las Vegas Boulevard, The Strip, Las Vegas, NV 89119",1876,64,3.7
160,Z3qmQ6N4VEudR45exSHrTg,Mickey's Tavern,WI,"1524 Williamson St, Williamson - Marquette, Madison, WI 53703",103,1,5.0
161,PrgdIc0zK9nc8jo8I18x8A,Argus,WI,"123 E Main St, Capitol, Madison, WI 53703",29,3,4.0
162,3x_CqRwRgiHczkqPGAwacA,Orpheum Lobby Restaurant,WI,"216 State St, Capitol, Madison, WI 53703",21,2,4.5
163,EbhnT9RcTyyGNBp1s2NQZQ,Harvest,WI,"21 N Pinckney St, Capitol, Madison, WI 53703",114,8,3.75
164,N8Q2s-Snz2vL79zB3rEEug,Weary Traveler ,WI,"1201 Williamson St, Williamson - Marquette, Madison, WI 53703",270,10,3.7
165,qsBet6HtxE0x41cUYl8vgQ,The Kollege Klub,WI,"529 N Lake St, Capitol, Madison, WI 53703",19,1,3.0
166,5IWu0xhlZEopvIz3w7o_3w,Palm Restaurant,NV,"Caesar's Palace, 3500 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",370,17,3.88
167,HbUQ_3dlm3uCacmhTEMnuA,Tom Colicchio's Craftsteak,NV,"MGM Grand Hotel and Casino, 3799 Las Vegas Blvd S, Eastside, Las Vegas, NV 89109",1413,37,4.03
168,WhBxWYRj6rycigYqdXY9cA,Great Dane Pub & Brewing Co,WI,"123 E Doty St, Capitol, Madison, WI 53703",406,50,3.98
